Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,Pittsburgh Steelers,16,5,15,,1,,1,,22,1,3,,18,19,26,30,,232,14.5
2,Green Bay Packers,16,6,16,1,,,1,,24,,0,,24,24,24,29,,240,15.0
3,Baltimore Ravens,16,5,22,,,,,,27,1,2,,25,25,27,32,,270,16.9
4,Chicago Bears,16,14,14,1,,1,2,,32,,1,,29,31,21,27,,286,17.9
5,Atlanta Falcons,16,9,23,,1,1,,1,35,1,3,,31,31,15,23,,288,18.0
6,New York Jets,16,11,24,,,,1,,36,,1,,34,35,18,23,,304,19.0
7,New Orleans Saints,16,13,13,,,2,4,,32,2,3,,27,29,28,34,,307,19.2
8,New England Patriots,16,10,25,,1,,,,36,4,4,,32,32,19,26,,313,19.6
9,Tampa Bay Buccaneers,16,12,23,,1,1,1,,38,2,3,,35,35,17,21,,318,19.9
10,San Diego Chargers,16,14,18,1,3,2,,1,39,,2,,36,37,16,16,,322,20.1
11,Kansas City Chiefs,16,11,23,,1,1,1,1,38,,0,,38,38,20,24,,326,20.4
12,St. Louis Rams,16,7,21,1,1,,2,,32,1,3,,29,29,35,38,,328,20.5
13,Cleveland Browns,16,7,26,,,,3,,36,,0,,35,35,27,36,,332,20.8
14,Miami Dolphins,16,8,22,1,2,,2,1,36,,0,,36,36,27,31,,333,20.8
15,Tennessee Titans,16,7,23,,1,,1,,32,,2,,30,30,39,48,,339,21.2
16,San Francisco 49ers,16,9,25,,1,1,1,,37,,0,,36,37,28,33,,346,21.6
17,New York Giants,16,11,24,2,,1,1,,39,2,2,,36,37,23,27,,347,21.7
18,Minnesota Vikings,16,10,25,1,1,2,3,,42,,0,,42,42,18,23,,348,21.8
19,Detroit Lions,16,18,23,1,1,,2,,45,,3,,42,42,19,20,,369,23.1
20,Oakland Raiders,16,14,29,,1,,,,44,,0,,44,44,21,28,,371,23.2
21,Philadelphia Eagles,16,12,31,,,2,1,,46,1,1,,45,45,18,21,,377,23.6
22,Washington Redskins,16,15,23,1,,1,2,,42,2,5,,37,37,28,38,,377,23.6
23,Indianapolis Colts,16,14,22,1,1,,4,,42,1,1,,41,41,31,36,,388,24.3
24,Cincinnati Bengals,16,15,21,,2,1,5,,44,1,1,,43,43,28,33,,395,24.7
25,Seattle Seahawks,16,13,31,1,,1,1,,47,2,3,,44,44,25,30,,407,25.4
26,Carolina Panthers,16,20,19,1,,1,5,,46,,1,,45,45,29,32,,408,25.5
27,Jacksonville Jaguars,16,19,28,,1,1,1,,50,1,2,,48,48,23,25,,419,26.2
28,Buffalo Bills,16,18,28,,,,2,,48,1,2,,46,46,29,39,,425,26.6
29,Houston Texans,16,16,33,,1,,2,,52,1,1,,50,50,21,27,,427,26.7
30,Arizona Cardinals,16,19,22,,,,4,,45,,0,,44,45,40,51,,434,27.1
31,Dallas Cowboys,16,11,33,,1,2,3,1,51,2,2,,49,49,25,27,,436,27.3
32,Denver Broncos,16,26,26,,1,1,1,,55,,2,,52,53,29,36,,471,29.4
,Avg Team,,12.5,23.5,0.4,0.7,0.7,1.8,0.2,39.7,0.8,1.6,0.0,37.6,37.9,24.8,30.1,0.4,352.6,22.0
,League Total,,399,751,13,23,22,57,5,1270,26,50,0,1203,1214,794,964,13,11283,22.0
,Avg Tm/G,,0.78,1.47,0.03,0.04,0.04,0.11,0.01,2.48,0.05,0.10,0.00,2.35,2.37,1.55,1.88,0.03,22.0,
