Rk,Tm,G,Att,Yds,TD,Y/A,Y/G,EXP
1,Detroit Lions,16,350,1109,8,3.2,69.3,70.56
2,Denver Broncos,16,349,1276,9,3.7,79.8,41.37
3,Seattle Seahawks,16,380,1304,8,3.4,81.5,59.49
4,Baltimore Ravens,16,390,1412,8,3.6,88.3,62.03
5,New York Jets,16,393,1489,10,3.8,93.1,16.41
6,Pittsburgh Steelers,16,368,1605,9,4.4,100.3,21.57
7,San Francisco 49ers,16,402,1612,7,4.0,100.8,22.39
8,Dallas Cowboys,16,392,1650,18,4.2,103.1,20.90
9,New England Patriots,16,419,1669,6,4.0,104.3,12.58
10,Houston Texans,16,420,1681,6,4.0,105.1,37.04
11,Buffalo Bills,16,414,1703,10,4.1,106.4,16.03
12,Washington Redskins,16,421,1722,11,4.1,107.6,36.24
13,Arizona Cardinals,16,396,1739,9,4.4,108.7,25.14
14,St. Louis Rams,16,425,1765,12,4.2,110.3,51.70
15,Philadelphia Eagles,16,473,1771,14,3.7,110.7,59.52
16,Carolina Panthers,16,397,1792,14,4.5,112.0,9.08
17,Chicago Bears,16,421,1803,12,4.3,112.7,9.89
18,Indianapolis Colts,16,423,1814,14,4.3,113.4,-0.89
19,Tampa Bay Buccaneers,16,468,1819,15,3.9,113.7,31.84
20,Cincinnati Bengals,16,439,1861,16,4.2,116.3,10.41
21,Atlanta Falcons,16,450,1894,21,4.2,118.4,-12.22
22,Oakland Raiders,16,481,1911,17,4.0,119.4,33.33
23,Green Bay Packers,16,449,1919,11,4.3,119.9,0.53
24,Miami Dolphins,16,453,1937,13,4.3,121.1,6.49
25,Minnesota Vikings,16,450,1943,10,4.3,121.4,0.86
26,San Diego Chargers,16,438,1986,11,4.5,124.1,12.89
27,Jacksonville Jaguars,16,499,2033,15,4.1,127.1,12.69
28,Kansas City Chiefs,16,433,2036,4,4.7,127.3,4.24
29,New Orleans Saints,16,442,2125,17,4.8,132.8,-29.04
30,New York Giants,16,438,2162,15,4.9,135.1,-9.58
31,Tennessee Titans,16,515,2195,17,4.3,137.2,-0.37
32,Cleveland Browns,16,500,2265,13,4.5,141.6,-7.30
,Avg Team,,427.8,1781.3,11.9,4.2,111.3,19.6
,League Total,,13688,57002,380,4.2,111.3,
,Avg Tm/G,,26.7,111.3,0.7,4.2,111.3,
