Rk,Tm,G,Att,Yds,TD,Y/A,Y/G,EXP
1,Seattle Seahawks,16,362,1304,10,3.6,81.5,32.09
2,New York Jets,16,373,1335,4,3.6,83.4,65.27
3,Denver Broncos,16,408,1337,10,3.3,83.6,54.30
4,Carolina Panthers,16,364,1415,11,3.9,88.4,32.98
5,Pittsburgh Steelers,16,382,1459,6,3.8,91.2,66.64
6,Arizona Cardinals,16,373,1460,9,3.9,91.3,44.29
7,Cincinnati Bengals,16,344,1477,8,4.3,92.3,19.29
8,Kansas City Chiefs,16,383,1571,7,4.1,98.2,30.33
9,New England Patriots,16,397,1578,8,4.0,98.6,32.23
10,Houston Texans,16,388,1597,10,4.1,99.8,24.79
11,Tampa Bay Buccaneers,16,466,1606,12,3.4,100.4,30.73
12,Baltimore Ravens,16,418,1661,10,4.0,103.8,20.31
13,Oakland Raiders,16,406,1678,12,4.1,104.9,6.76
14,Atlanta Falcons,16,416,1680,20,4.0,105.0,22.89
15,Jacksonville Jaguars,16,464,1709,15,3.7,106.8,24.60
16,Buffalo Bills,16,394,1730,10,4.4,108.1,-3.10
17,Minnesota Vikings,16,411,1748,7,4.3,109.3,28.02
18,Tennessee Titans,16,462,1797,11,3.9,112.3,43.04
19,Detroit Lions,16,428,1808,18,4.2,113.0,13.80
20,St. Louis Rams,16,453,1820,7,4.0,113.8,49.26
21,Green Bay Packers,16,420,1905,13,4.5,119.1,-8.60
22,Dallas Cowboys,16,460,1931,16,4.2,120.7,11.23
23,Chicago Bears,16,433,1934,9,4.5,120.9,6.50
24,New York Giants,16,444,1942,15,4.4,121.4,-4.56
25,Indianapolis Colts,16,452,1952,14,4.3,122.0,26.60
26,Washington Redskins,16,406,1962,10,4.8,122.6,8.57
27,San Diego Chargers,16,417,2005,17,4.8,125.3,-16.87
28,Miami Dolphins,16,503,2019,13,4.0,126.2,18.62
29,San Francisco 49ers,16,504,2020,20,4.0,126.3,19.66
30,Cleveland Browns,16,458,2055,11,4.5,128.4,0.95
31,New Orleans Saints,16,422,2071,12,4.9,129.4,19.61
32,Philadelphia Eagles,16,478,2153,10,4.5,134.6,-1.99
,Avg Team,,421.5,1741.4,11.4,4.1,108.8,22.4
,League Total,,13488,55724,365,4.1,108.8,
,Avg Tm/G,,26.3,108.8,0.7,4.1,108.8,
