,,,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Tm,G,Ret,Yds,TD,Y/R,Rt,Yds,TD,Y/Rt
1,Indianapolis Colts,16,23,177,0,7.7,51,1087,1,21.3
2,Pittsburgh Steelers,16,32,320,0,10.0,41,908,0,22.1
3,Los Angeles Chargers,16,37,564,1,15.2,34,913,0,26.9
4,Detroit Lions,16,21,116,0,5.5,49,1049,0,21.4
5,Atlanta Falcons,16,26,142,0,5.5,43,1010,0,23.5
6,Philadelphia Eagles,16,43,274,0,6.4,26,581,0,22.3
7,Arizona Cardinals,16,22,201,0,9.1,46,895,0,19.5
8,Seattle Seahawks,16,28,199,0,7.1,38,815,0,21.4
9,Chicago Bears,16,25,294,0,11.8,41,836,0,20.4
10,New York Giants,16,25,232,0,9.3,41,910,1,22.2
11,New York Jets,16,38,446,0,11.7,27,670,0,24.8
12,Cleveland Browns,16,25,229,0,9.2,38,998,1,26.3
13,Green Bay Packers,16,17,291,2,17.1,45,1088,0,24.2
14,Minnesota Vikings,16,33,321,0,9.7,27,670,1,24.8
15,Tennessee Titans,16,20,171,0,8.6,37,823,0,22.2
16,San Francisco 49ers,16,23,183,0,8.0,32,795,1,24.8
17,Houston Texans,16,19,128,0,6.7,34,705,0,20.7
18,Jacksonville Jaguars,16,26,196,0,7.5,25,469,0,18.8
19,Denver Broncos,16,28,226,0,8.1,21,627,1,29.9
20,Baltimore Ravens,16,19,108,0,5.7,30,634,0,21.1
21,Los Angeles Rams,16,23,297,1,12.9,26,737,0,28.3
22,Miami Dolphins,16,24,297,2,12.4,24,376,0,15.7
23,Cincinnati Bengals,16,29,170,0,5.9,18,415,0,23.1
24,Buffalo Bills,16,16,138,0,8.6,30,537,0,17.9
25,Las Vegas Raiders,16,14,133,0,9.5,32,748,0,23.4
26,Washington Football Team,16,36,209,0,5.8,9,235,0,26.1
27,New England Patriots,16,12,71,0,5.9,32,680,0,21.3
28,Dallas Cowboys,16,15,132,0,8.8,29,606,0,20.9
29,New Orleans Saints,16,20,46,0,2.3,22,379,0,17.2
30,Kansas City Chiefs,16,15,119,0,7.9,23,549,1,23.9
31,Tampa Bay Buccaneers,16,23,236,1,10.3,14,471,0,33.6
32,Carolina Panthers,16,18,184,1,10.2,7,144,0,20.6
,Avg Team,,24.2,214.1,0.3,8.8,31.0,698.8,0.2,22.5
,League Total,,775,6850,8,8.8,992,22360,7,22.5
,Avg Tm/G,,1.5,13.4,0.0,8.8,1.9,43.7,0.0,22.5
